full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
qunitjs/qunit,https://github.com/qunitjs/qunit,4033,16956,2026-06-28T13:36:20Z,JavaScript,2009-07-24T16:26:23Z,MIT,772,main,🔮 An easy-to-use JavaScript unit testing framework.
lirantal/dockly,https://github.com/lirantal/dockly,4033,6830,2026-07-23T18:52:55Z,JavaScript,2016-10-22T21:47:48Z,MIT,162,main,Immersive terminal interface for managing docker containers and services
github/relative-time-element,https://github.com/github/relative-time-element,4031,2402,2026-09-01T21:00:53Z,JavaScript,2014-04-22T17:51:39Z,MIT,191,main,Web component extensions to the standard <time> element.
joeferner/redis-commander,https://github.com/joeferner/redis-commander,4002,4933,2026-02-12T15:26:34Z,JavaScript,2012-06-18T14:30:04Z,MIT,507,master,Redis management tool written in node.js
senecajs/seneca,https://github.com/senecajs/seneca,3959,8309,2026-08-17T22:39:57Z,JavaScript,2010-10-21T17:09:05Z,MIT,308,master,A microservices toolkit for Node.js.
tw-in-js/twind,https://github.com/tw-in-js/twind,3949,53299,2026-09-01T09:20:23Z,JavaScript,2020-12-05T17:59:21Z,MIT,104,main,"The smallest, fastest, most feature complete Tailwind-in-JS solution in existence."
badrisnarayanan/antigravity-claude-proxy,https://github.com/badrisnarayanan/antigravity-claude-proxy,3941,13465,2026-08-25T17:10:51Z,JavaScript,2025-12-19T13:57:33Z,MIT,552,main,"Proxy that exposes Antigravity provided claude / gemini models, so we can use them in Claude Code and OpenClaw (Clawdbot)"
didi/mpx,https://github.com/didi/mpx,3933,55131,2026-09-03T12:41:03Z,JavaScript,2018-12-06T01:50:11Z,Apache-2.0,389,master,Mpx，一款具有优秀开发体验和深度性能优化的增强型跨端小程序框架
americanexpress/jest-image-snapshot,https://github.com/americanexpress/jest-image-snapshot,3914,7679,2026-08-05T17:49:22Z,JavaScript,2017-06-26T20:39:15Z,Apache-2.0,209,main,✨ Jest matcher for image comparisons. Most commonly used for visual regression testing.
webpro/reveal-md,https://github.com/webpro/reveal-md,3910,1275,2026-02-14T03:48:51Z,JavaScript,2013-06-24T11:49:43Z,MIT,416,main,reveal.js on steroids! Get beautiful reveal.js presentations from any Markdown file
middyjs/middy,https://github.com/middyjs/middy,3905,68006,2026-09-02T12:09:58Z,JavaScript,2017-08-03T14:59:07Z,MIT,398,main,🛵 The stylish Node.js middleware engine for AWS Lambda 🛵
webpack/sass-loader,https://github.com/webpack/sass-loader,3893,22475,2026-09-03T00:11:55Z,JavaScript,2014-02-09T12:06:00Z,MIT,422,main,Compiles Sass to CSS
claudiajs/claudia,https://github.com/claudiajs/claudia,3885,1944,2026-05-03T07:02:09Z,JavaScript,2016-02-05T00:10:57Z,MIT,276,master,Deploy Node.js projects to AWS Lambda and API Gateway easily
gildas-lormeau/zip.js,https://github.com/gildas-lormeau/zip.js,3883,84233,2026-08-31T21:13:54Z,JavaScript,2011-08-14T21:59:56Z,BSD-3-Clause,548,master,"JavaScript library to zip and unzip files supporting parallel compression, web streams, pluggable compression engines, zip64, split files, data encryption, and deflate64 decompression."
moment/moment-timezone,https://github.com/moment/moment-timezone,3879,23480,2026-09-03T00:11:39Z,JavaScript,2012-05-09T03:51:49Z,MIT,840,develop,Timezone support for moment.js
dillonzq/LoveIt,https://github.com/dillonzq/LoveIt,3870,55190,2026-09-01T06:59:00Z,JavaScript,2019-08-02T03:27:11Z,MIT,1163,master,"❤️A clean, elegant but advanced blog theme for Hugo 一个简洁、优雅且高效的 Hugo 主题"
skygragon/leetcode-cli,https://github.com/skygragon/leetcode-cli,3866,10518,2026-03-04T00:37:12Z,JavaScript,2016-08-16T07:57:24Z,MIT,459,master,A cli tool to enjoy leetcode!
webpack/tapable,https://github.com/webpack/tapable,3864,1687,2026-08-28T15:54:45Z,JavaScript,2013-01-21T10:04:17Z,MIT,393,main,Just a little module for plugins.
KyleAMathews/typography.js,https://github.com/KyleAMathews/typography.js,3855,8819,2026-03-04T01:38:49Z,JavaScript,2015-03-05T23:25:48Z,MIT,180,master,A powerful toolkit for building websites with beautiful design
JimLiu/baoyu-design,https://github.com/JimLiu/baoyu-design,3852,8288,2026-07-30T01:41:39Z,JavaScript,2026-06-07T01:16:18Z,MIT,269,main,"Run Claude Design locally as an Agent Skill — Cursor, Claude Code & more. Produce polished UI mockups, prototypes, decks & wireframes as self-contained HTML, without claude.ai/design. Best with Opus 4"
KartikTalwar/gmail.js,https://github.com/KartikTalwar/gmail.js,3845,1725,2026-08-04T09:31:47Z,JavaScript,2013-09-17T23:34:55Z,MIT,454,master,Gmail JavaScript API
tyroprogrammer/learn-react-app,https://github.com/tyroprogrammer/learn-react-app,3843,16371,2026-02-04T14:03:02Z,JavaScript,2019-01-21T06:23:40Z,MIT,336,master,"Application that will help you learn React fundamentals. Install this application locally - there's tutorial, code snippets and exercises. The main objective of this project is to help you get off the"
SchemaStore/schemastore,https://github.com/SchemaStore/schemastore,3836,39848,2026-09-03T01:45:07Z,JavaScript,2014-11-18T01:02:10Z,Apache-2.0,2303,master,A collection of JSON schema files including full API
biuuu/genshin-wish-export,https://github.com/biuuu/genshin-wish-export,3826,4375,2026-03-17T14:12:49Z,JavaScript,2021-02-15T07:08:16Z,MIT,378,main,Easily export the Genshin Impact wish record.
ReactTooltip/react-tooltip,https://github.com/ReactTooltip/react-tooltip,3821,10480,2026-06-15T14:19:44Z,JavaScript,2015-04-07T13:15:04Z,MIT,528,master,React Tooltip Component
panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,3802,8010,2026-09-03T08:44:30Z,JavaScript,2015-12-02T09:17:41Z,MIT,793,main,OpenID Certified™ OAuth 2.0 Authorization Server implementation for Node.js
