full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
j-easy/easy-random,https://github.com/j-easy/easy-random,1651,3510,2026-08-25T22:13:44Z,Java,2013-05-18T16:43:32Z,MIT,234,main,"The simple, stupid random Java beans/records generator"
sofastack/sofa-ark,https://github.com/sofastack/sofa-ark,1641,63089,2026-08-22T02:36:51Z,Java,2018-03-12T09:07:08Z,Apache-2.0,527,master,SOFAArk is a light-weight，java based classloader isolation framework.
kagkarlsson/db-scheduler,https://github.com/kagkarlsson/db-scheduler,1639,3573,2026-08-31T12:55:08Z,Java,2015-08-12T18:01:34Z,Apache-2.0,252,master,Persistent cluster-friendly scheduler for Java
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,1639,85403,2026-09-02T22:09:36Z,Java,2012-02-07T22:40:55Z,Apache-2.0,843,develop,CloudFoundry User Account and Authentication (UAA) Server
spring-projects/spring-integration,https://github.com/spring-projects/spring-integration,1628,83945,2026-09-01T20:24:52Z,Java,2011-07-22T21:47:27Z,Apache-2.0,1162,main,Spring Integration provides an extension of the Spring programming model to support the well-known Enterprise Integration Patterns (EIP)
ClickHouse/clickhouse-java,https://github.com/ClickHouse/clickhouse-java,1617,15270,2026-09-02T21:35:06Z,Java,2016-07-15T12:48:27Z,Apache-2.0,633,main,ClickHouse Java Clients & JDBC Driver
transistorsoft/react-native-background-fetch,https://github.com/transistorsoft/react-native-background-fetch,1609,7346,2026-04-22T13:25:52Z,Java,2016-08-01T18:44:54Z,MIT,196,master,Periodic callbacks in the background for both IOS and Android
dibo-software/diboot,https://github.com/dibo-software/diboot,1604,54269,2026-09-02T07:05:10Z,Java,2019-01-24T09:02:38Z,Apache-2.0,287,develop-v3,"写的更少, 性能更好 -> 为开发人员打造的低代码开发框架，基础框架可免写90%的SQL，同时具备极强的零代码模型表单页面流程的设计能力和代码生成能力，可在pro-code、low-code、no-code之间自由选择灵活切换，全方位赋能开发。"
apache/opennlp,https://github.com/apache/opennlp,1602,22288,2026-09-03T02:32:35Z,Java,2011-11-09T08:00:09Z,Apache-2.0,506,main,Apache OpenNLP
spring-projects/spring-graphql,https://github.com/spring-projects/spring-graphql,1594,5838,2026-09-01T10:23:08Z,Java,2020-07-20T16:35:00Z,Apache-2.0,330,main,Spring Integration for GraphQL 
knowm/XChart,https://github.com/knowm/XChart,1593,15854,2026-09-03T12:02:28Z,Java,2011-07-20T15:56:44Z,Apache-2.0,398,develop,XChart is a light-weight Java library for plotting data.
ReaJason/MemShellParty,https://github.com/ReaJason/MemShellParty,1592,35407,2026-08-30T16:11:37Z,Java,2024-09-01T05:17:19Z,MIT,161,master,一款专注于 Java 主流 Web 中间件的内存马快速生成工具，致力于简化安全研究人员和红队成员的工作流程，提升攻防效率
siddhi-io/siddhi,https://github.com/siddhi-io/siddhi,1592,36056,2026-05-05T12:16:03Z,Java,2014-04-21T09:51:36Z,Apache-2.0,527,master,Stream Processing and Complex Event Processing Engine
dromara/easy-es,https://github.com/dromara/easy-es,1587,4824,2026-05-10T03:31:32Z,Java,2021-12-01T09:05:38Z,Apache-2.0,248,main,"A foolproof Elasticsearch ORM framework that is easy to use, requires minimal coding, and is highly expandable..."
shibing624/similarity,https://github.com/shibing624/similarity,1584,79834,2026-07-16T12:10:21Z,Java,2016-11-09T02:02:01Z,Apache-2.0,343,master,similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。
rkkr/simple-keyboard,https://github.com/rkkr/simple-keyboard,1575,5720,2026-08-18T06:04:09Z,Java,2017-04-22T11:32:21Z,Apache-2.0,345,master,
javers/javers,https://github.com/javers/javers,1573,9656,2026-08-17T11:37:50Z,Java,2013-12-10T08:23:03Z,Apache-2.0,392,master,JaVers - object auditing and diff framework for Java
javiersantos/PiracyChecker,https://github.com/javiersantos/PiracyChecker,1569,10673,2026-06-04T21:55:46Z,Java,2016-05-26T16:39:21Z,Apache-2.0,170,master,"An Android library that prevents your app from being pirated / cracked using Google Play Licensing (LVL), APK signature protection and more. API 14+ required."
OWASP/crAPI,https://github.com/OWASP/crAPI,1568,9021,2026-05-14T19:52:37Z,Java,2021-02-03T21:11:44Z,Apache-2.0,633,develop,completely ridiculous API (crAPI)
aws/serverless-java-container,https://github.com/aws/serverless-java-container,1559,3849,2026-08-21T23:27:11Z,Java,2016-12-05T20:04:57Z,Apache-2.0,573,main,"A Java wrapper to run Spring, Spring Boot, Jersey, and other apps inside AWS Lambda."
java-diff-utils/java-diff-utils,https://github.com/java-diff-utils/java-diff-utils,1544,3115,2026-07-04T16:42:30Z,Java,2017-03-30T05:47:23Z,Apache-2.0,222,master,"Diff Utils library is an OpenSource library for performing the comparison / diff operations between texts or some kind of data: computing diffs, applying patches, generating unified diffs or parsing t"
microsoft/playwright-java,https://github.com/microsoft/playwright-java,1539,7399,2026-09-01T18:05:16Z,Java,2020-09-25T17:37:14Z,Apache-2.0,296,main,Java version of the Playwright testing and automation library
apache/httpcomponents-client,https://github.com/apache/httpcomponents-client,1534,21847,2026-09-01T13:53:03Z,Java,2009-05-21T01:43:06Z,Apache-2.0,990,master,Mirror of Apache HttpClient
ebean-orm/ebean,https://github.com/ebean-orm/ebean,1533,36748,2026-08-28T22:43:07Z,Java,2012-09-13T11:49:56Z,Apache-2.0,267,master,Ebean ORM
gradle/gradle-profiler,https://github.com/gradle/gradle-profiler,1531,6543,2026-09-03T06:01:09Z,Java,2016-08-08T05:32:30Z,Apache-2.0,174,master,A tool for gathering profiling and benchmarking information for Gradle builds
limedroid/XDroidMvp,https://github.com/limedroid/XDroidMvp,1524,1678,2026-07-01T03:47:01Z,Java,2016-12-23T03:55:39Z,MIT,396,master,轻量级的Android MVP快速开发框架
yulichang/mybatis-plus-join,https://github.com/yulichang/mybatis-plus-join,1522,2086,2026-08-29T16:45:52Z,Java,2021-01-27T07:36:31Z,Apache-2.0,153,master,"支持连表查询的mybatis-plus,mybatis-plus风格的连表操作提供left join、right join等操作"
o19s/elasticsearch-learning-to-rank,https://github.com/o19s/elasticsearch-learning-to-rank,1521,2227,2026-06-16T12:25:10Z,Java,2016-12-25T03:19:01Z,Apache-2.0,372,main,Plugin to integrate Learning to Rank (aka machine learning for better relevance) with Elasticsearch
overspace-labs/CaA,https://github.com/overspace-labs/CaA,1518,4898,2026-05-25T03:02:05Z,Java,2020-12-02T06:55:56Z,Apache-2.0,84,main,"CaA - Collector and Analyzer, Insight into information, exploring with intelligence in a thousand ways. 信息洞察，智探千方！"
NLPchina/nlp-lang,https://github.com/NLPchina/nlp-lang,1507,27724,2026-08-13T18:47:52Z,Java,2014-03-30T13:38:45Z,Apache-2.0,492,master,这个项目是一个基本包.封装了大多数nlp项目中常用工具
vladmihalcea/high-performance-java-persistence,https://github.com/vladmihalcea/high-performance-java-persistence,1498,5377,2026-06-23T06:55:15Z,Java,2015-10-15T04:57:57Z,Apache-2.0,522,master,The High-Performance Java Persistence book and video course code examples
apache/inlong,https://github.com/apache/inlong,1498,61075,2026-08-27T07:25:25Z,Java,2020-01-03T07:13:14Z,Apache-2.0,570,master,"Apache InLong - a one-stop, full-scenario integration framework for massive data"
AutohomeCorp/frostmourne,https://github.com/AutohomeCorp/frostmourne,1496,65646,2026-04-17T11:54:48Z,Java,2019-12-16T03:22:03Z,MIT,318,master,"Frostmourne（霜之哀伤监控平台）是基于Elasticsearch, Prometheus, SkyWalking, InfluxDB，Mysql/TiDB，ClickHouse, SqlServer, IoTDB数据的分布式监控报警系统. Monitor & alert & alarm for Elasticsearch，Prometheus data。主要使用springboot2 +"
